"Ticker","Volatility","ESG_Score"
"SAP.DE",0.225393989707733,9.2
"ADS.DE",0.370954425350679,8.5
"ALV.DE",0.205585170966721,9
"BAS.DE",0.278439547246548,7.8
"BAYN.DE",0.282581349997168,6.5
"BMW.DE",0.26522679241163,7.2
"CON.DE",0.363088358546696,6.8
"DTE.DE",0.190497855399945,8.1
"EOAN.DE",0.219299026119238,7.5
"FRE.DE",0.268362728968772,7
"HEI.DE",0.273201096902255,6.2
"HEN3.DE",0.195443247726423,8.8
"IFX.DE",0.364999408093979,8.3
"MBG.DE",0.291989708221368,7.4
"MRK.DE",0.282456424148434,9.1
"MUV2.DE",0.228818724699779,8.7
"RWE.DE",0.266117339102794,6
"SIE.DE",0.293438933475402,8.9
"VOW3.DE",0.328014771937756,5.8
"DHL.DE",0.276539046213917,8
